age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augmentation_salaire_precedente_pct,heures_supplementaires,a_quitte_l_entreprise,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,a_suivi_formation,annee_experience_avant_entreprise,mobilite_interne,evolution_note,utilisation_pee
41,F,5993,Célibataire,Commercial,Cadre Commercial,8,6,4,2,4,1,1,3,11,1,1,1,2,Infra & Cloud,Occasionnel,0,5,0,2,1,0,0
49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,7,3,2,4,3,4,23,0,0,8,1,Infra & Cloud,Frequent,1,7,1,0,1,2,1
37,M,2090,Célibataire,Consulting,Consultant,6,0,0,4,3,2,3,3,15,1,1,2,2,Autre,Occasionnel,0,0,1,7,0,1,0
33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,7,4,3,3,3,3,11,1,0,3,4,Infra & Cloud,Frequent,3,0,1,0,1,0,0
27,M,3468,Marié(e),Consulting,Consultant,9,2,2,1,2,4,3,3,12,0,0,2,1,Transformation Digitale,Occasionnel,2,2,1,4,0,0,1
32,M,3068,Célibataire,Consulting,Consultant,0,7,7,4,4,3,2,3,13,0,0,2,2,Infra & Cloud,Frequent,3,6,1,1,0,0,0
59,F,2670,Marié(e),Consulting,Consultant,4,1,0,3,1,1,2,4,20,1,0,3,3,Transformation Digitale,Occasionnel,0,0,1,11,1,0,1
30,M,2693,Divorcé(e),Consulting,Consultant,1,1,0,4,3,2,3,4,22,0,0,24,1,Infra & Cloud,Occasionnel,0,0,1,0,1,1,1
38,M,9526,Célibataire,Consulting,Tech Lead,0,9,7,4,3,2,3,4,21,0,0,23,3,Infra & Cloud,Frequent,1,8,1,1,1,2,0
36,M,5237,Marié(e),Consulting,Manager,6,7,7,3,3,2,2,3,13,0,0,27,3,Transformation Digitale,Occasionnel,7,7,1,10,0,0,1
35,M,2426,Marié(e),Consulting,Consultant,0,5,4,1,2,3,3,3,13,0,0,16,3,Transformation Digitale,Occasionnel,0,3,1,1,1,-1,1
29,F,4193,Célibataire,Consulting,Consultant,0,9,5,4,3,4,3,3,12,1,0,15,2,Infra & Cloud,Occasionnel,0,8,1,1,1,1,0
31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,2,1,3,4,2,3,17,0,0,26,1,Infra & Cloud,Occasionnel,4,3,1,0,1,0,1
34,M,2661,Divorcé(e),Consulting,Consultant,0,2,2,2,4,3,3,3,11,0,0,19,2,Transformation Digitale,Occasionnel,1,2,1,1,0,0,1
28,M,2028,Célibataire,Consulting,Consultant,5,4,2,3,3,2,3,3,14,1,1,24,3,Infra & Cloud,Occasionnel,0,3,1,2,1,1,0
29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,9,2,1,3,3,3,11,0,0,21,4,Infra & Cloud,Occasionnel,8,8,1,0,1,-1,1
32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,6,2,1,2,4,2,3,12,1,0,5,2,Infra & Cloud,Occasionnel,0,5,1,1,1,-1,1
22,M,2935,Divorcé(e),Consulting,Consultant,1,1,0,4,4,2,2,3,13,1,0,16,2,Transformation Digitale,Aucun,0,0,1,0,1,-1,1
53,F,15427,Marié(e),Commercial,Senior Manager,2,25,8,1,4,3,3,3,16,0,0,2,4,Infra & Cloud,Occasionnel,3,7,1,6,1,1,0
38,M,3944,Célibataire,Consulting,Assistant de Direction,5,3,2,4,4,3,3,3,11,1,0,2,3,Infra & Cloud,Occasionnel,1,2,1,3,1,0,0
24,F,4011,Divorcé(e),Consulting,Tech Lead,0,4,2,1,3,4,2,3,18,0,0,11,2,Autre,Aucun,1,3,1,1,1,-1,1
36,M,3407,Célibataire,Commercial,Représentant Commercial,7,5,3,3,1,2,3,4,23,0,1,9,4,Infra & Cloud,Occasionnel,0,3,1,5,1,2,0
34,F,11994,Célibataire,Consulting,Directeur Technique,0,12,6,1,2,3,3,3,11,0,0,7,4,Infra & Cloud,Occasionnel,2,11,1,1,1,0,0
